,證券代號,證券名稱,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數
49,031681,美利達元大0C購01,0,0,0,0,0,0,0,0,0,1905000,0,0,0,2213000,308000,1905000,1905000
50,033085,矽創統一13購01,0,0,0,0,0,0,0,0,0,1904000,0,0,0,2006000,102000,1904000,1904000
51,2441,超豐,4899000,3017045,1881955,0,0,0,0,16000,-16000,19474,0,20000,-20000,264112,224638,39474,1885429
52,030866,奇鋐永豐0A購02,0,0,0,0,0,0,0,0,0,1881000,0,0,0,2578000,697000,1881000,1881000
53,032452,群創元大12購04,0,10000,-10000,0,0,0,0,0,0,1815000,0,0,0,1915000,100000,1815000,1805000
54,07344P,臺股指群益0C售11,0,0,0,0,0,0,0,0,0,1793000,0,0,0,1893000,100000,1793000,1793000
55,034925,聯發科富邦0C購07,0,0,0,0,0,0,0,0,0,1751000,0,0,0,1818000,67000,1751000,1751000
56,087429,聯電元富09購04,0,0,0,0,0,0,0,0,0,1734000,0,0,0,1999000,265000,1734000,1734000
57,6239,力成,4837334,2303233,2534101,0,0,0,1000,15000,-14000,-787000,59000,840000,-781000,42000,48000,-6000,1733101
58,088866,欣陸永豐09購02,0,0,0,0,0,0,0,0,0,1711000,0,0,0,1711000,0,1711000,1711000
59,038930,光罩麥證11購02,0,0,0,1791000,110000,1681000,0,0,0,1657000,0,0,0,1791000,134000,1657000,1657000
60,3049,和鑫,5906000,4232000,1674000,0,0,0,0,0,0,-41000,0,0,0,0,41000,-41000,1633000
61,034633,中鋼元大0B購08,0,0,0,0,0,0,0,0,0,1584000,0,0,0,1760000,176000,1584000,1584000
62,030404,鼎元元大0A購02,0,0,0,0,0,0,0,0,0,1581000,0,0,0,1941000,360000,1581000,1581000
63,07525P,臺股指國票11售02,0,0,0,0,0,0,0,0,0,1521000,0,0,0,1523000,2000,1521000,1521000
64,1314,中石化,6011000,4222600,1788400,0,0,0,0,0,0,-268979,30021,174000,-143979,111000,236000,-125000,1519421
65,032503,華邦電永豐0A購05,0,0,0,0,0,0,0,0,0,1514000,0,0,0,1524000,10000,1514000,1514000
66,2340,光磊,4321000,2628000,1693000,0,0,0,0,0,0,-183350,341250,252600,88650,57000,329000,-272000,1509650
